car-id,initial-timestamp,car-type,time-taken-hours,distance-travelled-km,avg-kmh,route-taken,sensor-count,unique-sensors,number-campings,trace-complete
20154301124328-262,2015-05-01 00:43:28,4,0.8413888888888889,70.29614592,83.54774688412017,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20153101013141-937,2015-05-01 01:31:41,1,0.9047222222222222,70.29614592,77.69914808474056,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20150101030146-497,2015-05-01 03:01:46,3,0.3358333333333333,23.85047808,71.01879329032258,entrance4/entrance2,2,2,0,True
20155301025312-741,2015-05-01 02:53:12,4,0.9808333333333333,70.29614592,71.66981742056075,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20155201025212-846,2015-05-01 02:52:12,4,1.0444444444444445,57.06733824000001,54.638940868085115,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,8,8,0,True
20153701033700-323,2015-05-01 03:37:00,1,0.49722222222222223,26.45761536,53.21084653407821,entrance3/general-gate7/entrance1,3,3,0,True
20154001034019-109,2015-05-01 03:40:19,5,0.9355555555555556,70.29614592,75.13839825178147,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20154201054201-550,2015-05-01 05:42:01,2,0.29,23.85047808,82.24302786206897,entrance2/entrance4,2,2,0,True
20154901054932-304,2015-05-01 05:49:32,3,0.6147222222222222,36.59648256,59.53336521283326,entrance1/camping2/camping2/general-gate7/entrance3,5,4,2,True
20151701061719-611,2015-05-01 06:17:19,1,1.7119444444444445,108.53415935999999,63.39817843517766,entrance3/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,12,10,2,True
20151301081324-366,2015-05-01 08:13:24,1,0.5425,26.45761536,48.76979789861751,entrance1/general-gate7/entrance3,3,3,0,True
20152701082731-176,2015-05-01 08:27:31,3,0.37333333333333335,23.85047808,63.885209142857136,entrance2/entrance4,2,2,0,True
20151001081035-840,2015-05-01 08:10:35,2,0.8516666666666667,70.29614592,82.53950597260274,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,7,7,0,True
20152001072049-523,2015-05-01 07:20:49,1,1.9136111111111112,151.98644736,79.42389468660183,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/camping6/camping6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,16,10,2,True
20155201075209-669,2015-05-01 07:52:09,2P,2.1036111111111113,83.33183232,39.613706107487126,ranger-base/gate8/general-gate5/gate3/ranger-stop3/ranger-stop3/gate3/camping8/general-gate3/gate4/ranger-stop5/ranger-stop5/gate4/gate5/ranger-stop6/ranger-stop6/gate5/gate8/ranger-base,19,11,1,True
20153201103200-582,2015-05-01 10:32:00,2,0.5319444444444444,31.285647360000002,58.81374960626632,entrance0/general-gate4/general-gate7/entrance1,4,4,0,True
20153601103632-930,2015-05-01 10:36:32,3,0.5038888888888889,28.195706879999996,55.95619887982358,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20153501103520-243,2015-05-01 10:35:20,1,0.6186111111111111,51.85306368,83.82174640682533,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,7,7,0,True
20152901052958-57,2015-05-01 05:29:58,1,6.413333333333333,95.11223040000002,14.830389355509359,entrance2/camping6/camping6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,9,8,2,True
20151301111352-990,2015-05-01 11:13:52,1,0.9986111111111111,59.09511168,59.17730237774687,entrance0/general-gate4/general-gate7/camping3/camping3/general-gate7/entrance3,7,5,2,True
20152101082156-552,2015-05-01 08:21:56,1,4.1825,45.962864640000014,10.98932806694561,entrance4/general-gate6/camping7/camping7/general-gate6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,11,9,2,True
20153601013616-849,2015-05-01 13:36:16,5,0.5244444444444445,26.45761536,50.44884284745762,entrance1/general-gate7/entrance3,3,3,0,True
20152401012401-945,2015-05-01 13:24:01,1,0.9572222222222222,80.72469504000001,84.33224090075451,entrance1/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,9,9,0,True
20152501012546-952,2015-05-01 13:25:46,1,1.8372222222222223,139.14388224,75.73601089567585,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,17,10,2,True
20154101034146-410,2015-05-01 15:41:46,4,0.3288888888888889,23.85047808,72.51834551351351,entrance4/entrance2,2,2,0,True
20150801020850-865,2015-05-01 14:08:50,2P,1.9572222222222222,98.87809536,50.5196059176838,ranger-base/gate8/general-gate5/camping8/camping8/general-gate5/gate5/ranger-stop6/ranger-stop6/gate5/gate4/ranger-stop5/ranger-stop5/gate4/gate8/ranger-base,16,8,2,True
20154801034809-529,2015-05-01 15:48:09,2,0.31055555555555553,23.85047808,76.79939274418605,entrance2/entrance4,2,2,0,True
20152501012557-10,2015-05-01 13:25:57,2P,3.1366666666666667,162.80123904,51.90262668650372,ranger-base/gate8/general-gate5/general-gate2/ranger-stop0/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/ranger-stop4/ranger-stop4/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop2/ranger-stop0/general-gate2/general-gate5/gate8/ranger-base,22,10,0,True
20150101040141-397,2015-05-01 16:01:41,2,1.0619444444444444,57.06733824,53.73853457075595,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,8,8,0,True
20153401033430-345,2015-05-01 15:34:30,2P,2.222777777777778,72.51704064,32.62451215996001,ranger-base/gate8/gate5/ranger-stop6/ranger-stop6/gate5/general-gate5/general-gate2/ranger-stop0/ranger-stop0/general-gate2/general-gate5/gate8/ranger-base,14,7,0,True
20150101060136-731,2015-05-01 18:01:36,4,0.9211111111111111,80.72469504,87.63839027261761,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,9,9,0,True
20155201075206-349,2015-05-01 19:52:06,5,0.29527777777777775,23.85047808,80.77302077892756,entrance4/entrance2,2,2,0,True
20152601072603-870,2015-05-01 19:26:03,4,0.9944444444444445,70.29614592,70.68886181899441,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,7,7,0,True
20154301114306-910,2015-05-01 23:43:06,1,0.9677777777777777,57.06733824,58.96739887026406,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,8,8,0,True
20151302121334-985,2015-05-02 00:13:34,1,0.4786111111111111,28.195706879999996,58.91151756703424,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance0,6,6,0,True
20155502025544-979,2015-05-02 02:55:44,3,1.0230555555555556,57.06733824,55.78127006896551,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/entrance1,8,8,0,True
20150502040512-565,2015-05-02 04:05:12,1,0.4361111111111111,26.45761536,60.66714350063694,entrance1/general-gate7/entrance3,3,3,0,True
20152802052806-928,2015-05-02 05:28:06,3,1.4619444444444445,108.53415936,74.2395921900057,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping3/camping3/general-gate7/entrance3,12,10,2,True
20154401104416-538,2015-05-01 10:44:16,3,20.421944444444446,121.28016384000001,5.938717744038956,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping2/camping2/general-gate7/general-gate4/entrance0,13,10,2,True
20150602070649-231,2015-05-02 07:06:49,6,0.5175,26.45761536,51.1258267826087,entrance3/general-gate7/entrance1,3,3,0,True
20151402071449-545,2015-05-02 07:14:49,1,0.4708333333333333,28.19570688,59.88468717876106,entrance0/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,6,6,0,True
20151602071621-654,2015-05-02 07:16:21,5,0.5447222222222222,31.285647360000002,57.43413079857216,entrance0/general-gate4/general-gate7/entrance1,4,4,0,True
20155502075522-491,2015-05-02 07:55:22,5,0.29694444444444446,23.85047808,80.3196642544434,entrance2/entrance4,2,2,0,True
20155101065139-549,2015-05-01 06:51:39,1,25.421388888888888,148.02746112000003,5.822949397729385,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping0/camping0/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,17,10,2,True
20155202065206-711,2015-05-02 06:52:06,2P,1.9713888888888889,49.245926399999995,24.980320563618427,ranger-base/gate8/gate5/ranger-stop6/gate6/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/ranger-stop6/gate5/gate8/ranger-base,15,7,0,True
20151202081232-209,2015-05-02 08:12:32,5,0.7880555555555555,70.29614592,89.20201808671132,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20155202075207-398,2015-05-02 07:52:07,1,1.5725,101.19555072000001,64.35329139586646,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping5/camping5/general-gate7/entrance3,12,10,2,True
20154302084310-559,2015-05-02 08:43:10,3,0.8083333333333333,70.29614592,86.96430423092784,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,7,7,0,True
20150502090541-904,2015-05-02 09:05:41,3,0.48388888888888887,31.285647360000002,64.65460992881746,entrance1/general-gate7/general-gate4/entrance0,4,4,0,True
20155602115634-803,2015-05-02 11:56:34,1,0.9275,70.29614592,75.79099290566037,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,7,7,0,True
20155401045441-227,2015-05-01 16:54:41,2,19.961666666666666,162.80123904,8.15569369825499,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/general-gate4/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/entrance4,18,9,2,True
20150302010312-760,2015-05-02 13:03:12,1,0.6955555555555556,36.59648256,52.61475128434504,entrance1/camping2/camping2/general-gate7/entrance3,5,4,2,True
20155302025352-365,2015-05-02 14:53:52,1,0.5930555555555556,31.285647360000002,52.75331639156909,entrance0/general-gate4/general-gate7/entrance1,4,4,0,True
20154802044825-624,2015-05-02 16:48:25,3,1.5319444444444446,141.55789824000001,92.40406775412512,entrance3/general-gate1/ranger-stop2/ranger-stop0/general-gate2/general-gate5/camping6/camping6/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,14,7,2,True
20154102044113-988,2015-05-02 16:41:13,2P,2.4097222222222223,99.36089856,41.233341189164264,ranger-base/gate8/gate5/ranger-stop6/gate6/gate7/ranger-stop7/ranger-stop7/gate7/gate6/ranger-stop6/gate5/general-gate5/gate3/ranger-stop3/ranger-stop3/gate3/general-gate5/gate8/ranger-base,20,10,0,True
20153601093644-33,2015-05-01 09:36:44,1,33.62722222222222,89.70483456,2.6676254722199273,entrance0/general-gate4/general-gate7/camping3/camping3/general-gate7/general-gate4/general-gate1/ranger-stop2/ranger-stop0/general-gate2/entrance2,12,9,2,True
20151602071627-36,2015-05-02 19:16:27,2,0.3572222222222222,20.85709824,58.38690020528771,entrance0/entrance3,2,2,0,True
20151902071923-16,2015-05-02 19:19:23,2,0.9305555555555556,46.63878912,50.11929577074626,entrance2/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,6,6,0,True
20152102082141-406,2015-05-02 20:21:41,2,0.30694444444444446,23.85047808,77.7029150117647,entrance4/entrance2,2,2,0,True
20150002080040-921,2015-05-02 20:00:40,5,0.7933333333333333,70.29614592,88.60858729411765,entrance4/general-gate5/general-gate2/ranger-stop0/ranger-stop2/general-gate1/entrance3,7,7,0,True
20153002083021-292,2015-05-02 20:30:21,5,0.3736111111111111,23.85047808,63.83771084609665,entrance4/entrance2,2,2,0,True
